gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SUN1,1250.7813341511094,0.23527972407178477,0.11858600840823448,1.984042866691575,0.047251061400353914,0.10473382277315813
ADAP1,478.2643784734812,-1.7014922982138077,0.4713347190477468,-3.609944757838737,0.0003062622234467227,0.0026719948295164946
COX19,524.6283867140792,0.3800681202926099,0.1859404708681845,2.0440311811517615,0.04095046686234688,0.09426630934960878
C7orf50,740.7178913942781,-0.225613883993367,0.15599876745037786,-1.4462542729072088,0.14810589621087245,0.24900508093346121
GPR146,77.958230517618,-0.287887585695169,0.24693622925289754,-1.1658377815445278,0.24368003848674746,0.3626411057300642
GPER1,41.01438793268309,-0.26334998534725773,0.38862034422257985,-0.6776536258647995,0.49799133622838054,0.6188123798565917
ZFAND2A,123.75606803558732,-0.12561874486823027,0.2263700124617347,-0.5549266155094845,0.5789448561326149,0.6904216732028894
MICALL2,1007.4398352724568,-0.02644100200270672,0.3301681812519567,-0.08008343475875151,0.936170897575421,0.959777416879632
INTS1,819.8615590182085,-1.0256235203291948,0.33226348888888446,-3.0867776768340134,0.002023388671908054,0.01113979750368854
MAFK,182.03042009589805,-1.1450422322188465,0.41440672705694,-2.7630879458709083,0.005725733652659363,0.02295850263197911
PSMG3,163.3755671262518,-1.324934620225203,0.32251022071826063,-4.108194206293521,3.987647327817301e-05,0.0005359072184106556
PSMG3-AS1,100.07742914073735,-0.0945850089218319,0.20208793086719737,-0.4680388804811342,0.6397567857066049,0.7414990163610985
ELFN1,107.86581125976889,-0.1496477999285753,0.27828220932111675,-0.5377555406565462,0.5907458294893173,0.7009679321162003
MAD1L1,549.8166504539267,0.4809883003938265,0.7698746626650581,0.6247618264625049,0.5321273882486621,0.6506726212309821
SNX8,425.78414352761325,-0.31390790338080987,0.1428245683058032,-2.1978564829875653,0.027959334847535103,0.07163806206111226
EIF3B,649.9098958987413,-0.23634996137305336,0.1669537960937825,-1.4156609008176677,0.15687481119383032,0.26003275506407464
CHST12,472.4965756710952,0.074845289270453,0.1400204318187296,0.5345311987563908,0.5929740701879063,0.7028092607189449
LFNG,177.88489604736975,-0.564867469233293,0.5797207981625201,-0.9743784784394381,0.3298686513409166,0.45575781400424076
BRAT1,369.08239627559755,-0.5150767512699225,0.17117958387488597,-3.008984714242492,0.002621223035752835,0.013335529778378395
IQCE,386.65661392468,0.01813082241508412,0.11093708832159334,0.16343337191728918,0.8701772291190643,0.9145327631621649
TTYH3,788.3110434579665,-0.4081618263480454,0.289794580859541,-1.4084522392979983,0.15899719992144778,0.2623663738320673
AMZ1,541.1054672645454,-0.21817500362974768,0.2312701356759831,-0.9433773322787249,0.3454879333754973,0.4718875481435263
GNA12,1272.4253124178765,0.46099229523232815,0.2509265920996837,1.8371599892019144,0.06618628035356715,0.1352124519177884
CARD11,440.82310288642145,0.474830655724029,0.41654049175849023,1.1399387697447079,0.25431181149424176,0.37441859012996187
AC073316.1,22.116833281256078,-1.6173006394849485,0.451717625162411,-3.5803354781728136,0.00034315335058111266,0.0029216479978300142
SDK1,3819.7593725388856,0.5018668504386132,0.18845367524639303,2.6630780736032307,0.007742944675870988,0.028655428595897897
FOXK1,1171.2681149226994,0.3787862959151181,0.13074841950954932,2.897062139152306,0.003766751389790113,0.017160830851690935
AP5Z1,352.1952924356766,-0.6765545340775396,0.1979951990066427,-3.4170249454121433,0.0006330947831544759,0.004756059525591138
RADIL,267.6747824351066,0.3164728176282249,0.2691065147154283,1.176013215298355,0.2395895952029361,0.35809787287972916
MMD2,1215.112869542386,-0.21850106982051087,0.30296985425085904,-0.7211973955652762,0.47078807397136613,0.5939326782840313
RBAK-RBAKDN,357.9296727266874,-2.5253566582065154,0.43220832536260223,-5.842915348953219,5.129508707795866e-09,2.6421533464995504e-07
WIPI2,619.5476802385074,-0.10219680282835232,0.12043176512796469,-0.848586772100892,0.3961112700816467,0.5234469572867483
SLC29A4,316.89262712532803,-0.696618393087291,0.33161819329284914,-2.100663977962492,0.0356704735550153,0.08511283122902925
TNRC18,1813.478140520229,0.3011204716816765,0.1944048919720895,1.5489346416493885,0.12139743237770727,0.21480518780378177
