,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ASB1,168.35379363043435,0.03432467461732744,0.07598722880675025,0.45171636281961947,0.6514733288470085,0.7062448328205906
TWIST2,87.86517119773752,-0.4338738464849151,0.28653011247739685,-1.5142347264430773,0.1299663170303007,0.17946312466099718
HDAC4,3218.8779518133615,-0.5006882472980647,0.14843813051178523,-3.373043338472338,0.0007434225037591289,0.00245781117391723
AC093802.1,70.34431420216734,2.7905934182987786,0.4318190737420548,6.462413515262476,1.0304604160673346e-10,5.3235196537248275e-09
NDUFA10,1499.762376745253,-0.06894656418383184,0.12275303541334588,-0.5616689147577354,0.574341617308838,0.6376971900067598
GPC1,1233.1247627235505,1.2448376651900968,0.2657875218875735,4.683582044595215,2.8190454103210926e-06,2.9186597474239986e-05
ANKMY1,842.5920753025026,-0.6167484778271003,0.15147626236977915,-4.071585000701384,4.66943167123588e-05,0.0002819788555958676
DUSP28,53.15134068853658,0.2876135076261375,0.13273057848870337,2.166897115201047,0.030242699977555892,0.05139519073325631
RNPEPL1,310.857920025006,0.3903050951536293,0.1909843415201724,2.0436497151909387,0.040988164159562586,0.06655403724988881
CAPN10,226.10874045242895,0.15458222344278366,0.145888566309088,1.0595910793672259,0.28933067369931775,0.3570110214819451
GPR35,64.35773459816744,-0.3278899254462428,0.20422674545384578,-1.6055190260099612,0.1083796295289444,0.1536572394751632
KIF1A,2022.1420381971998,0.7621201522972518,0.1633945013319905,4.66429497984605,3.0967689956523475e-06,3.1654402855276894e-05
CROCC2,14.736518721791269,0.9731850269757143,0.3923055745620946,2.480681106971314,0.01311316296627917,0.025354587014929816
SNED1,2046.6778612458234,0.1244342717382334,0.18680337405291822,0.6661243265498153,0.5053316366617824,0.5734804852628695
MTERF4,868.6388000424446,-0.305343276928304,0.12700918671741263,-2.4041038669720276,0.016212166240356502,0.030301510093352274
PASK,124.13311579141046,0.9362441973111032,0.17188327704735573,5.446976654123005,5.1233184646208475e-08,9.980472605238513e-07
PPP1R7,568.8280112622381,0.2037065017765661,0.07351590294645059,2.7709174969250814,0.005589858826005065,0.012435846395265496
ANO7,79.84066677320659,-0.27207101397642547,0.17015250125837067,-1.598983335327496,0.1098243054855381,0.1552947438059475
HDLBP,1332.1583161006988,-0.2321545554768651,0.07122064062882348,-3.2596527274553964,0.0011154870427879282,0.003351787306894846
SEPT2,2240.2422772430796,-0.30965443147941635,0.07771916810909738,-3.9842736227534314,6.768684634179e-05,0.0003796454300124873
FARP2,1479.9126804584644,-0.4009918862221385,0.14849366243544904,-2.7003973075042964,0.00692567141494601,0.014826529812147398
STK25,695.7259112326931,0.457705903231249,0.1526971270247322,2.997475539648593,0.0027222570360440684,0.006900516346707855
BOK,478.24741941648233,0.26250457924842596,0.48730336655844597,0.5386882120317588,0.5901020088721429,0.6519682823181958
THAP4,438.5087325625185,-0.21103296992488194,0.08407096340908748,-2.510176657522052,0.01206707769546814,0.023589800454376805
