,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TBC1D8,1304.3946359460242,0.13647026210471425,0.10882124673747677,1.2540773626122728,0.20981388755111552,0.4183560006081893
CNOT11,331.80447015463756,0.06232916664148954,0.06575673244085292,0.9478750589919228,0.343193063365153,0.5545803727975018
RNF149,2272.542980967758,0.22213085947091446,0.1178773174652973,1.8844241135391384,0.05950763065994776,0.21232428553288973
CREG2,779.3900042038282,-0.4421432673173986,0.45469179279861194,-0.9724021289146707,0.33085053324923874,0.5435981516082121
RFX8,104.39512055109483,-0.15846770438301078,0.31593768219481483,-0.5015789926739279,0.6159636995425946,0.773443813033211
MAP4K4,11606.01415641613,0.2612466305606004,0.19164580833203362,1.3631742475054853,0.17282760134504516,0.3732477919827191
IL1R1,193.60120257476223,0.06162552406047459,0.3612272581365004,0.17060042583272483,0.8645379630680423,0.9260210521310476
IL1RL2,59.770130021818105,-0.48616521842537574,0.3973580760156058,-1.2234939913648117,0.22114317226453006,0.4323104099617515
IL18R1,60.916511669009914,0.4272117186089031,0.3920960503436696,1.0895588421114033,0.27590752151477904,0.4887388895367656
SLC9A2,115.57905617768091,-0.13152695836470138,0.1626447065034447,-0.8086765391403362,0.4187012263475014,0.621282383521406
MFSD9,59.804015661544234,0.3302606523581327,0.16049128934212567,2.0578104500992755,0.03960833253443028,0.17247021814180022
TMEM182,182.64603521960683,0.2390413697203732,0.23430048842138268,1.0202341929841143,0.3076174047324235,0.5208767332822997
AC073987.1,20.86761464365945,-0.850112204340188,0.382796094978088,-2.2207964383462433,0.02636475193607376,0.13508443730464978
LINC01102,487.83189344060855,0.2922782035487437,0.29291765720994495,0.9978169507864698,0.3183681290225334,0.5315561540514648
LINC01103,99.42113007826451,-1.2800051742974812,0.41119825093665774,-3.1128662910938725,0.0018527993804835453,0.026112383868664883
LINC01114,93.24843936601117,0.050123697480981874,0.24501553714541588,0.20457354690626675,0.8379053247918211,0.9092017145990567
POU3F3,145.09884631247235,-5.20544291273289,1.5085164968073705,-3.4507033391744186,0.0005591277965016394,0.012042880545483225
AC010884.1,182.01038011623044,0.28920670604847865,0.2346219706712922,1.232649718272379,0.21770647897176432,0.42848566448698894
MRPS9,770.068336728087,0.11164161919111605,0.1052692749002273,1.0605337530530952,0.2889018427973826,0.5010611668731388
TGFBRAP1,390.1240368034715,0.009680920664645603,0.08935755973618954,0.10833913429626546,0.9137266806114411,0.9538873990233852
C2orf49,233.1067167729025,0.05990610656798692,0.11368510743162444,0.5269477060046521,0.5982299037881438,0.7624689364384722
FHL2,225.407507082176,-0.6091423447647628,0.3836534111725382,-1.587741245159467,0.11234486231668007,0.2920926059226922
NCK2,2172.4949278099566,0.5397398292808423,0.2918561890174915,1.8493348765288464,0.06440947266642467,0.22065389523640963
C2orf40,28.26250825134152,-0.5465278581137671,0.25614249007189527,-2.133686831733248,0.03286842471102511,0.15521617594367942
UXS1,624.6858178851944,0.14821499180162861,0.08186811751818088,1.8104116265860608,0.07023197762775248,0.2295894045447816
RGPD3,61.27001469492472,-0.4482324936359497,0.1829528590060969,-2.449989008485581,0.014286057561548254,0.0954646339546858
ST6GAL2,691.6241154167384,0.035976669498338436,0.24395574466122813,0.14747211445378278,0.8827593885009641,0.9356370378707496
RGPD4,29.11373594426493,-0.4210312359206545,0.15998858034718427,-2.6316330516027637,0.008497558704556252,0.07008186022207817
LINC01594,32.956709300091674,-0.9383818917657851,0.26850788016914073,-3.494802056366732,0.0004744134556951358,0.010870927458355587
SULT1C2,27.208336578241763,-0.18803239444289038,0.3517157847155261,-0.5346146025120092,0.5929163839926914,0.7586606677919187
GCC2,1909.7797322746983,-0.09022444766613948,0.0829297521091063,-1.0879623461002985,0.27661173064008127,0.4895070533420389
